# ABR corpus record ledger — ANALYST-published derived artifact.
#
# Derived from the licensed .abr fixture corpus described in
# thoughts/docs/paged/plugin-image/abr-brush-format-spec.md §13.3, by an
# ANALYST-role session under the clean-room two-role protocol (plugin-
# image/CLAUDE.md §3.1). Contains only FACTS ABOUT BEHAVIOUR — counts, key
# names, OSTypes, unit codes, dimensions and cryptographic digests. It
# contains no corpus bytes, no third-party artwork, and nothing derived from
# the reference implementation mounted at references/ag-psd. IMPLEMENTER-
# LEGAL: consuming this file is not reading references/.
#
# One row per sampled-tip record, in file order. `sha256` is the SHA-256
# of the DECODED coverage mask (row-major, one byte per pixel, exactly
# w*h bytes, NOT inverted). `png_oracle` names the independently
# published transparent PNG whose ALPHA CHANNEL hashes to the same
# value — the artefact that settles polarity (spec §2.5).
#
# A digest is a one-way function of the artwork: it pins the decode
# exactly while carrying none of the picture. That is what makes this
# file publishable where the corpus itself is gitignored.
#
# Regenerate: ANALYST role only, with references/abr-fixtures/ mounted.
#
file	index	id	declared_len	pad_len	array_count	written_planes	top	left	bottom	right	w	h	depth	compression	decoded_bytes	sha256	png_oracle
kma-hogenburg-urban-cartography-brushes.abr	66	c84e72ac-cdb8-8649-8f59-36c0c10a2d01	2330	2	56	1	3355	2820	3401	2884	64	46	8	1	2944	c79fa9fca46223921deb2529516090329243434f74734ff9486b669fb011a7f9	
kma-hogenburg-urban-cartography-brushes.abr	67	d53ded11-f9d1-8546-8c99-c9734446135e	3183	1	56	1	3510	2903	3578	2969	66	68	8	1	4488	580ae4517462be8a4f77ccd82c7cd2292665ea18db0511492c6a2eab9757c947	
kma-hogenburg-urban-cartography-brushes.abr	68	f3e7f70c-e4b8-e748-84d9-c82ef67d7be2	3502	2	56	1	3663	2810	3715	2890	80	52	8	1	4160	14ed4ba1239accfa24f860603f4264b10aed91f51d2ee5fc0484fbde92017ab6	
kma-hogenburg-urban-cartography-brushes.abr	69	cc213b47-a2d8-be45-81ca-165b715aedc5	4442	2	56	1	3470	2450	3570	2496	46	100	8	1	4600	f4d785acec90828b9b0bd0c6aa951c2f3528e16672975eb6e9d99d23e089cd39	
kma-hogenburg-urban-cartography-brushes.abr	70	6bb1a8b6-f072-a04e-b1e2-0d09b0ceee04	2870	2	56	1	3571	2652	3644	2713	61	73	8	1	4453	e3411adc191bd0fa5e5f39ec3eccfaf21375637aefd8bceebf74495ac792f22b	
kma-hogenburg-urban-cartography-brushes.abr	71	b6cd519c-1d4f-bc4a-b40b-4237dd4670b7	15608	0	56	1	4010	2099	4091	2562	463	81	8	1	37503	924f29d625c157a7e9aff7f52bd0c0c957ee84f286af7fe46f8f2630635d7d17	
kma-hogenburg-urban-cartography-brushes.abr	72	69a73a90-905f-5740-92c1-8ccb2ca5dab8	30139	1	56	1	4077	2187	4312	2432	245	235	8	1	57575	2711fe03cabca956d3eac5a0591ce1b8247a74ce99e5115f922a51f204cad85f	
kma-hogenburg-urban-cartography-brushes.abr	73	a6464c89-b66b-ad4b-a873-09a791441e9f	29251	1	56	1	3521	1719	3775	1988	269	254	8	1	68326	810305c8dcfeb550a13bb266370e98e83afb3c283391b263c72868dd34a80969	
kma-hogenburg-urban-cartography-brushes.abr	74	d06b7c33-91f2-494d-b441-3c8c13f5308c	123890	2	56	1	2752	1136	3207	1625	489	455	8	1	222495	74dd7be5d04c24e441fc60072a36aa3af554621fbc641c054f8aedd86c29d7a4	
kma-hogenburg-urban-cartography-brushes.abr	75	74ad06be-0374-c641-950e-876543734fd4	56759	1	56	1	807	2506	1125	2823	317	318	8	1	100806	3181d5fd7209a321d661ec11dcf8cc62bc3b2c45e03d2bd20fcb067e06b9ab6c	
